"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"xsycon.nlogo"
"x-sycon experiment"
"10/20/2025 03:06:46:321 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-carriers","p-new-DE","max-blocked-frac","kappa","run-seed","[step]","service-throughput","miss-rate","mean-ttfr","mean-latency","energy-per-task","coverage-entropy","field-mean","field-var"
"1","10","0.02","0.1","0.5","1","5000","0.0154","0.18627450980392157","142.8395061728395","283.9583333333333","646.4805194805194","4.2003339550584435","0.6506841203580468","3.370806596209595"
"2","10","0.02","0.1","0.5","2","5000","0.0148","0.22857142857142856","146.52702702702703","326.31632653061223","670.4459459459459","4.4569145679869955","0.7648229502824248","3.742250353267612"
"3","10","0.02","0.1","0.5","3","5000","0.0196","0.08108108108108109","140.23","243.34579439252337","508.68367346938777","4.289524103499635","0.5981521139385936","2.983578202633034"
"4","10","0.02","0.1","0.5","4","5000","0.017","0.09900990099009901","135.27586206896552","237.50526315789475","585.0588235294117","4.43128487783633","0.5181830191889046","2.5900492410907376"
"5","10","0.02","0.1","0.5","5","5000","0.015","0.1368421052631579","138.03896103896105","261.5","664.16","4.250302595281552","0.5577103879288849","2.83996245509385"
"6","10","0.02","0.1","0.5","6","5000","0.012","0.16455696202531644","166.13114754098362","306.35616438356163","829.1","4.016329822315528","0.5188154954954288","2.6075838333105663"
"7","10","0.02","0.1","0.5","7","5000","0.013","0.20224719101123595","133.3939393939394","297.5542168674699","767.2153846153847","4.108758987998844","0.5726111496692304","2.8757812844650847"
"8","10","0.02","0.1","0.5","8","5000","0.0166","0.09278350515463918","120.39759036144578","236.8586956521739","600.2168674698795","4.432468875888727","0.49675244328146845","2.5163860430187497"
"9","10","0.02","0.1","0.5","9","5000","0.0206","0.09243697478991597","118.41904761904762","226.3684210526316","483.06796116504853","4.357268385692662","0.5643772002721891","2.828470445207198"
"10","10","0.02","0.1","0.5","10","5000","0.016","0.23893805309734514","177.95180722891567","350.42056074766356","623.375","4.071823385281104","0.8805097999805326","4.35855839837609"
"11","10","0.02","0.1","0.8","1","5000","0.0118","0.26506024096385544","159.3548387096774","337.5432098765432","845.1864406779661","4.11316023515861","0.6272417867641213","3.288783380247395"
"12","10","0.02","0.1","0.8","2","5000","0.014","0.14893617021276595","94.63380281690141","248.25","712.0571428571428","4.075557837026222","0.49302698294468283","2.474658260830024"
